Table 8 
Blackbody Fits and Bolometric Light Curves of SN 2008D from UVW1 rarr K_s Data


Deltat (days)	T_BB (K)	R_BB (10^14 cm)	log(L_BB) ($ {\rm erg\, s^{\scriptscriptstyle -1}}$)	log($L_{{\it UVW1}-K_s}$) ($ {\rm erg\, s^{\scriptscriptstyle -1}}$)	
0.80	12000^+3000_-2000	2.75^+0.36_-0.37	42.04^+0.27_-0.21	41.92^+0.18_-0.17	
1.80	10000^+1600_-1200	3.78^+0.30_-0.30	42.05^+0.19_-0.17	42.00^+0.17_-0.16	
2.80	8700^+1300_-1000	4.64^+0.47_-0.46	41.93^+0.17_-0.15	41.89^+0.15_-0.14	
3.80	7900^+1000_-830	5.19^+0.47_-0.47	41.86^+0.15_-0.13	41.83^+0.14_-0.13	
4.80	7600^+970_-780	5.62^+0.52_-0.50	41.87^+0.14_-0.13	41.85^+0.14_-0.12	
5.80	7400^+910_-740	6.12^+0.56_-0.54	41.90^+0.14_-0.12	41.89^+0.13_-0.12	
6.80	7200^+850_-690	6.92^+0.61_-0.60	41.95^+0.13_-0.12	41.93^+0.13_-0.12	
7.80	7000^+800_-660	7.64^+0.65_-0.64	42.00^+0.13_-0.11	41.98^+0.13_-0.12	
8.80	6900^+770_-630	8.30^+0.69_-0.69	42.04^+0.13_-0.11	42.02^+0.12_-0.11	
9.80	6800^+740_-610	8.89^+0.74_-0.73	42.08^+0.12_-0.11	42.05^+0.12_-0.11	
10.80	6700^+720_-590	9.45^+0.78_-0.76	42.10^+0.12_-0.11	42.08^+0.12_-0.11	
11.80	6600^+700_-580	9.95^+0.79_-0.81	42.13^+0.12_-0.11	42.11^+0.12_-0.11	
12.80	6600^+680_-570	10.40^+0.84_-0.83	42.15^+0.12_-0.10	42.13^+0.12_-0.11	
13.80	6500^+660_-550	10.80^+0.92_-0.84	42.17^+0.11_-0.10	42.15^+0.12_-0.11	
14.80	6400^+650_-540	11.20^+0.94_-0.86	42.18^+0.11_-0.10	42.17^+0.12_-0.11	
15.80	6400^+630_-530	11.60^+0.90_-0.93	42.19^+0.11_-0.10	42.18^+0.12_-0.11	
16.80	6300^+620_-520	11.90^+0.97_-0.89	42.20^+0.11_-0.10	42.19^+0.11_-0.11	
17.80	6200^+600_-510	12.30^+0.98_-0.96	42.21^+0.11_-0.10	42.20^+0.11_-0.10	
18.80	6200^+590_-500	12.60^+1.00_-0.97	42.21^+0.11_-0.10	42.20^+0.11_-0.10	
19.80	6100^+570_-480	12.90^+1.00_-0.98	42.21^+0.11_-0.10	42.20^+0.11_-0.10	
20.80	6000^+560_-470	13.20^+1.00_-0.99	42.21^+0.10_-0.10	42.20^+0.11_-0.10	
21.80	6000^+540_-460	13.40^+1.10_-1.00	42.20^+0.10_-0.09	42.20^+0.11_-0.10	
22.80	5900^+530_-450	13.70^+1.00_-1.00	42.19^+0.10_-0.09	42.19^+0.11_-0.10	
23.80	5800^+520_-440	13.90^+1.10_-1.00	42.18^+0.10_-0.09	42.18^+0.10_-0.10	
24.80	5700^+500_-430	14.20^+1.10_-1.10	42.17^+0.10_-0.09	42.16^+0.10_-0.10	
25.80	5600^+480_-410	14.50^+1.10_-1.10	42.15^+0.09_-0.09	42.15^+0.10_-0.09	
26.80	5400^+460_-400	14.80^+1.20_-1.10	42.13^+0.09_-0.08	42.13^+0.10_-0.09	
27.80	5300^+440_-380	15.20^+1.20_-1.20	42.11^+0.09_-0.08	42.11^+0.10_-0.09	
28.80	5200^+420_-360	15.50^+1.20_-1.20	42.09^+0.09_-0.08	42.09^+0.10_-0.09	
29.80	5100^+400_-350	15.70^+1.20_-1.20	42.08^+0.09_-0.08	42.08^+0.10_-0.09	
30.80	5100^+400_-350	15.80^+1.20_-1.20	42.06^+0.08_-0.07	42.07^+0.09_-0.09	
Notes. Adopted values: E(B - V)_Host = 0.6 +or- 0.1 mag, D = 31 +or- 2 Mpc, and t_0 = 2008-01-09 13:32:49 UT. The uncertainties include the uncertainty in reddening, but not the systematic uncertainty in distance.
